stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
423,,130th Ave & W Center SE,,41.234013,-96.117372,,,,
424,,120th & W Center SW,,41.233998,-96.102486,,,,
428,,129th Ave & W Center SW,,41.233993,-96.114712,,,,
429,,122nd Ave & W Center SW,,41.233984,-96.10455,,,,
430,,129th Ave & W Center NE,,41.234129,-96.114451,,,,
433,,124th & W Center NE,,41.23412,-96.107401,,,,
450,,105th & W Center SW,,41.234182,-96.074623,,,,
453,,125th Ave & W Center SE,,41.233971,-96.109297,,,,
454,,102nd & W Center NE,,41.234331,-96.072238,,,,
456,,124th & W Center SW,,41.233967,-96.107603,,,,
457,,100th & W Center NW,,41.234338,-96.069017,,,,
462,,99th Ave & W Center NE,,41.23436,-96.067371,,,,
508,,Westwood Ln & W Center NW,,41.234156,-96.093207,,,,
509,,Paddock & W Center SW,,41.233435,-96.057909,,,,
510,,72nd & Western Ave NE,,41.270618,-96.023771,,,,
515,,49th & Bedford Ave NE,,41.288722,-95.987705,,,,
519,,108th & W Center NE,,41.234301,-96.081351,,,,
520,,107th & W Center SW,,41.234135,-96.079406,,,,
523,,107th & W Center NE,,41.234306,-96.079263,,,,
528,,72nd & Hamilton NW,,41.272409,-96.023908,,,,
530,,88th & W Center Rd NW,,41.234368,-96.051077,,,,
543,,Westwood Ln & W Center SW,,41.234003,-96.093158,,,,
554,,13th & Martha SE,,41.238109,-95.933198,,,,
557,,46th & Ames Ave SW,,41.299463,-95.982337,,,,
558,,16th & Douglas SE,,41.258562,-95.937066,,,,
559,,41st & Ames Ave SE,,41.299483,-95.974481,,,,
560,,72nd & Pinkney SE,,41.290435,-96.023871,,,,
561,,13th & Castelar SE,,41.236866,-95.933208,,,,
564,,66th & Ames Ave NE,,41.299601,-96.014169,,,,
566,,48th & Ames Ave NE,,41.299675,-95.985382,,,,
569,,72nd & Bedford Ave NE,,41.288752,-96.023818,,,,
572,,72nd & Ames Ave NE,,41.299845,-96.02377,,,,
576,,49th & Ames Ave NE,,41.299672,-95.987137,,,,
580,,19th & Dodge NW,,41.259827,-95.941341,,,,
581,,13th & Dorcas SE,,41.239405,-95.933237,,,,
582,,73rd & Blondo NE,,41.277881,-96.025657,,,,
584,,72nd & Sprague SE,,41.29591,-96.023757,,,,
588,,Fontenelle Blvd & Ames Ave NE,,41.299594,-95.97934,,,,
589,,17th & Douglas SW,,41.258578,-95.938594,,,,
590,,42nd & Ames Ave SW,,41.299463,-95.975925,,,,
591,,72nd & Pratt NW,,41.292362,-96.023985,,,,
599,,72nd & Spaulding SE,,41.294064,-96.023787,,,,
600,,13th & Leavenworth SE,,41.252227,-95.933141,,,,
601,,117th Ave & Grant NW,,41.280056,-96.098035,,,,
606,,19th & Douglas SW,,41.258584,-95.941243,,,,
607,,13th & Jones SE,,41.253272,-95.933131,,,,
610,,65th & Ames Ave NE,,41.29956,-96.01165,,,,
619,,63rd & Ames Ave SW,,41.299456,-96.009524,,,,
621,,Robertson Dr & Blondo NW,,41.277863,-96.039407,,,,
624,,37th & Ames Ave NE,,41.299672,-95.968439,,,,
626,,52nd & Ames Ave NE,,41.299678,-95.994922,,,,
629,,109th Ct & Mill Valley NW,,41.267371,-96.086117,,,,
636,,51st (Bakers) & Ames Ave NW,,41.299681,-95.992797,,,,
637,,13th & Howard SE,,41.255388,-95.933099,,,,
648,,20th & Davenport SW,,41.260636,-95.942524,,,,
656,,Benson Gardens Blvd & Blondo NE,,41.277858,-96.037306,,,,
658,,120th & Stonegate NW,,41.286739,-96.100702,,,,
667,,20th & Chicago SW,,41.262635,-95.942563,,,,
668,,50th & Ames Ave NE,,41.299694,-95.990146,,,,
674,,61st & Ames Ave SW,,41.299442,-96.007184,,,,
678,,117th Ave & Miami SW,,41.282882,-96.09862,,,,
683,,33rd & Ames Ave NW,,41.299636,-95.96149,,,,
686,,13th & Pacific NW,,41.249238,-95.933374,,,,
687,,Benson Gardens Blvd & Blondo SW,,41.277705,-96.037568,,,,
689,,72nd & Maple NE,,41.285186,-96.023675,,,,
690,,37th & Ames Ave SE,,41.299438,-95.968403,,,,
693,,54th & Ames Ave NE,,41.299647,-95.997203,,,,
694,,20th & Cuming NW,,41.268037,-95.942491,,,,
696,,72nd & Grant SE,,41.27955,-96.023788,,,,
698,,13tlh & Pierce SE,,41.248031,-95.933181,,,,
699,,Cole Creek Dr & Blondo NE,,41.277853,-96.035301,,,,
702,,36th & Ames Ave NE,,41.299648,-95.966051,,,,
703,,55th & Ames Ave NW,,41.299609,-95.998456,,,,
704,,20th & Nicholas NW,,41.270063,-95.942483,,,,
705,,31st Ave & Ames Ave NW,,41.299639,-95.959234,,,,
706,,72nd & Decatur NW,,41.275696,-96.023907,,,,
707,,Robertson Dr & Blondo SW,,41.277701,-96.039335,,,,
710,,38th & Ames Ave NE,,41.299616,-95.969681,,,,
714,,56th & Ames Ave NW,,41.299607,-96.00008,,,,
715,,20th & Paul NW,,41.271783,-95.942474,,,,
718,,83rd & Blondo NE,,41.277867,-96.042057,,,,
723,,72nd & Ohio SE,,41.282566,-96.023822,,,,
724,,54th & Ames Ave SE,,41.299512,-95.997202,,,,
728,,13th & William SE,,41.245537,-95.933212,,,,
729,,78th & Blondo NW,,41.277866,-96.033344,,,,
731,,36th & Ames Ave SW,,41.299441,-95.966278,,,,
736,,34th Ave & Ames Ave NE,,41.299624,-95.963735,,,,
741,,Florence Blvd & Chicago SE,,41.262636,-95.941012,,,,
742,,13th & Hickory SE,,41.242764,-95.933195,,,,
745,,33rd & Ames Ave SW,,41.299465,-95.961454,,,,
748,,13th St & Douglas SE,,41.258611,-95.933129,,,,
749,,19th & Capitol Ave SE,,41.260574,-95.940984,,,,
750,,13th & Center SE,,41.241305,-95.933192,,,,
751,,74th & Blondo SW,,41.277716,-96.027172,,,,
756,,22nd & Ames Ave NE,,41.299702,-95.94444,,,,
757,,Florence Blvd & Miami SW,,41.283263,-95.942294,,,,
758,,65th & Ames Ave SW,,41.29947,-96.011733,,,,
759,,46th & Ames Ave NE,,41.299617,-95.982123,,,,
760,,Florence Blvd & Emmet NW,,41.289728,-95.942283,,,,
763,,13th & B St NW,,41.225206,-95.933389,,,,
771,,48th & Ames Ave SW,,41.29953,-95.985513,,,,
772,,Florence Blvd & Pinkney SE,,41.290493,-95.94207,,,,
776,,65th & Sorensen Pkwy NE,,41.317756,-96.012159,,,,
781,,20th & Lake NW,,41.281588,-95.942303,,,,
785,,100th & Blondo SW,,41.277757,-96.068495,,,,
787,,13th & C St SW,,41.222802,-95.933385,,,,
788,,60th & P St SW,,41.206758,-96.004679,,,,
790,,61st & Ames Ave NE,,41.299568,-96.006993,,,,
791,,20th & Burdette NW,,41.278869,-95.942393,,,,
793,,108th & Charles Plz SE,,41.273154,-96.081236,,,,
796,,87th St & Blondo St,,41.277716,-96.050077,,,,
802,,63rd & Ames Ave NE,,41.299573,-96.009381,,,,
804,,20th & Charles NW,,41.273268,-95.942453,,,,
809,,13th & Atlas SE,,41.221955,-95.933276,,,,
810,,24th & L St SW,,41.21227,-95.947138,,,,
821,,20th & Willis Ave NW,,41.28067,-95.942337,,,,
822,,20th & Clark NW,,41.27533,-95.942433,,,,
825,,72nd & Western Ave NW,,41.270572,-96.02395,,,,
828,,13th & Bert Murphy Ave NE,,41.223684,-95.933279,,,,
829,,13th & Vinton SE,,41.234912,-95.933264,,,,
830,,90th & Blondo NW,,41.277881,-96.052716,,,,
831,,Keystone Dr & Blondo NW,,41.27789,-96.044193,,,,
838,,Florence Blvd & Sahler SE,,41.297319,-95.942047,,,,
842,,23rd & L St SW,,41.21219,-95.945599,,,,
846,,60th & N St NW,,41.21009,-96.004725,,,,
849,,72nd & Webster SW,,41.265593,-96.023982,,,,
850,,Fontenelle Blvd & Browne SE,,41.304881,-95.977921,,,,
853,,20th & Grace NW,,41.27696,-95.942413,,,,
858,,85th & Blondo SW,,41.277712,-96.047678,,,,
869,,24th & Saratoga NW,,41.303895,-95.94704,,,,
874,,Fontenelle Blvd & Ames Ave SW,,41.299449,-95.979662,,,,
875,,Florence Blvd & Spencer NW,,41.287927,-95.942279,,,,
878,,13th & Spring Lake Dr NW,,41.214761,-95.933382,,,,
881,,35th & Broadway NE,,41.261935,-95.901977,,,,
886,,66th & Ames Ave SW,,41.299474,-96.01436,,,,
889,,96th & Blondo SW,,41.277699,-96.062252,,,,
895,,Fontenelle Blvd & Jaynes 1,,41.308665,-95.969703,,,,
897,,Florence Blvd & Manderson NW,,41.29342,-95.942266,,,,
899,,72nd & Ames Ave SE,,41.299458,-96.023697,,,,
901,,Newport Ave & Sorensen Pkwy NE,,41.317991,-96.016925,,,,
903,,24th & Laurel Ave NW,,41.31234,-95.947009,,,,
905,,Florence Blvd & Sprague SE,,41.295941,-95.942045,,,,
907,,24th & Himebaugh Ave NW,,41.311278,-95.947031,,,,
910,,Florence Blvd & Laird SE,,41.29468,-95.942054,,,,
915,,24th & Grand Ave SE,,41.303184,-95.946835,,,,
918,,Florence Blvd & Wirt SE,,41.286892,-95.942074,,,,
925,,Florence Blvd & Binney SW,,41.285901,-95.942275,,,,
931,,16th & Harney SW,,41.256482,-95.937289,,,,
936,,83rd & Blondo SE,,41.277723,-96.042092,,,,
940,,Davenport & S Frontage Rd SW,,41.262137,-96.087121,,,,
941,,13th & Martha NW,,41.238271,-95.933413,,,,
946,,30th & Grebe NW,,41.334393,-95.959957,,,,
948,,16th & Farnam NW,,41.257724,-95.93728,,,,
953,,Florence Blvd & Locust SE,,41.285064,-95.942083,,,,
954,,Metro College Transit Center,,41.206604,-95.955806,,,,
956,,Crosswalk & Newport (Immanuel) SW,,41.320101,-96.020336,,,,
962,,98th Ave & Blondo SE,,41.277754,-96.066,,,,
968,,Taylor & Ames Ave SE,,41.299575,-96.002982,,,,
976,,20thd & Grace SE,,41.276816,-95.942222,,,,
980,,62nd Ave & Sorensen Pkwy NE,,41.317692,-96.007429,,,,
995,,20th & Willis Ave SE,,41.280553,-95.942157,,,,
998,,30th & State NW,,41.336301,-95.96051,,,,
1002,,13th & Center NW,,41.24144,-95.933407,,,,
1005,,85th & Blondo SE,,41.277721,-96.047475,,,,
1012,,60th & Grand Ave SE,,41.303039,-96.004544,,,,
1017,,108th & Mill Valley Rd NE,,41.266424,-96.082867,,,,
1020,,60th & Fowler Ave SE,,41.301247,-96.004563,,,,
1022,,120th & Emmet SE,,41.29062,-96.1006,,,,
1028,,114th Ave & W Maple Rd NE,,41.290227,-96.092265,,,,
1029,,114th Ave & W Maple Rd SW,,41.2901,-96.092527,,,,
1030,,W Maple Rd & Emmet NE,,41.289032,-96.087377,,,,
1031,,W Maple Rd & Emmet SW,,41.288923,-96.087675,,,,
1032,,43rd Ave & Cuming NE,,41.268082,-95.977983,,,,
1035,,108th & Bedford Ave SE,,41.288677,-96.081299,,,,
1036,,45th & Cuming NE,,41.268033,-95.980215,,,,
1037,,102nd & Seward NW,,41.27341,-96.071915,,,,
1039,,108th & Ogden Plz NW,,41.3079,-96.081545,,,,
1042,,108th & Emmet SE,,41.289703,-96.081339,,,,
1043,,108th & Emmet NW,,41.289838,-96.081531,,,,
1045,,66th & Maple SW,,41.284933,-96.014459,,,,
1047,,108th & Fort SE,,41.306568,-96.081301,,,,
1048,,Fort & North Oaks Blvd NE,,41.306811,-96.061276,,,,
1052,,NW Radial Hwy & Nicholas NW,,41.270064,-95.982941,,,,
1053,,102nd & Military Rd NW,,41.313979,-96.072972,,,,
1054,,108th & Manderson Plz NE,,41.292909,-96.081341,,,,
1055,,NW Radial Hwy & Hamilton SE,,41.272153,-95.98334,,,,
1057,,107th & Military Rd SE,,41.313864,-96.08028,,,,
1061,,108th & Old Maple Rd SE,,41.29434,-96.081323,,,,
1062,,108th & Old Maple Rd NW,,41.294529,-96.081538,,,,
1066,,108th & Grande Ave NW,,41.304145,-96.08153,,,,
1067,,104th & Q St NE,,41.205405,-96.074353,,,,
1068,,32nd & Cuming MB,,41.267899,-95.960129,,,,
1071,,NW Radial Hwy & Seward NW,,41.274241,-95.983573,,,,
1074,,108th & Boyd SE,,41.297627,-96.081312,,,,
1075,,108th & Fowler Ave SE,,41.301138,-96.081315,,,,
1076,,105th & Military Rd SW,,41.313807,-96.077366,,,,
1077,,33rd & Cuming SE,,41.267879,-95.961311,,,,
1078,,108th & Taylor NW,,41.299202,-96.081545,,,,
1082,,NW Radial Hwy & Decatur NW,,41.276348,-95.983638,,,,
1086,,108th & Fowler Ave SW,,41.301165,-96.08153,,,,
1088,,34th & Cuming SW,,41.267832,-95.963292,,,,
1091,,Templeton Dr & Fort NW,,41.306803,-96.047866,,,,
1092,,78th/Templeton Dr & Military Ave SE,,41.302546,-96.033391,,,,
1093,,38th & Cuming SW,,41.267869,-95.969342,,,,
1094,,108th & Grand Ave NE,,41.304254,-96.081327,,,,
1100,,NW Radial Hwy & Burdette NW,,41.27877,-95.983561,,,,
1102,,Regency Pw & Regency Ramp MB,,41.262137,-96.067658,,,,
1104,,40th & Cuming NW,,41.268215,-95.973019,,,,
1107,,Military Ave & Keystone Dr NE,,41.299559,-96.027459,,,,
