fare_id,route_id,origin_id,destination_id,contains_id
Urban_Adult,1,,,
Urban_Adult,2,,,
Rural_Adult,3,,,
Rural_Adult,4,,,
Rural_Adult,5,,,
Rural_Adult,6,,,
Rural_Adult,7,,,
Urban_Adult,8,,,
Rural_Adult,9,,,
Rural_Adult,10,,,
Urban_Adult,11,,,
Urban_Adult,12,,,
Urban_Adult,13,,,
Rural_Adult,14,,,
Urban_Adult,18,,,
Urban_Adult,17,,,
Urban_Adult,16,,,
Urban_Adult,19,,,
