from_stop_id,to_stop_id,transfer_type,min_transfer_time
23RD_OUSDAHL_EB,23RD_OUSDAHL_NB,2,0
23RD_OUSDAHL_EB,23RD_OUSDAHL_SB,2,0
23RD_OUSDAHL_EB,23RD_OUSDAHL_WB,2,0
23RD_OUSDAHL_NB,23RD_OUSDAHL_NB,2,0
23RD_OUSDAHL_NB,HOBBY_LOBBY,2,0
23RD_OUSDAHL_NB,23RD_OUSDAHL_EB,2,0
23RD_OUSDAHL_NB,23RD_OUSDAHL_SB,2,0
23RD_OUSDAHL_NB,23RD_OUSDAHL_WB,2,0
23RD_OUSDAHL_SB,23RD_OUSDAHL_SB,2,0
23RD_OUSDAHL_SB,HOBBY_LOBBY,2,0
23RD_OUSDAHL_SB,23RD_OUSDAHL_EB,2,0
23RD_OUSDAHL_SB,23RD_OUSDAHL_NB,2,0
23RD_OUSDAHL_SB,23RD_OUSDAHL_WB,2,0
23RD_OUSDAHL_WB,23RD_OUSDAHL_WB,2,0
23RD_OUSDAHL_WB,HOBBY_LOBBY,2,0
23RD_OUSDAHL_WB,23RD_OUSDAHL_EB,2,0
23RD_OUSDAHL_WB,23RD_OUSDAHL_NB,2,0
23RD_OUSDAHL_WB,23RD_OUSDAHL_SB,2,0
HOBBY_LOBBY,HOBBY_LOBBY,2,0
HOBBY_LOBBY,23RD_OUSDAHL_EB,2,0
HOBBY_LOBBY,23RD_OUSDAHL_NB,2,0
HOBBY_LOBBY,23RD_OUSDAHL_SB,2,0
HOBBY_LOBBY,23RD_OUSDAHL_WB,2,0
WAK_OVER_SB,WAK_OVER_SB,2,0
9TH_IOWA_EB,9TH_IOWA_EB,2,0
9TH_IOWA_EB,9TH_IOWA_WB,2,0
9TH_IOWA_EB,MERC,2,0
9TH_IOWA_WB,9TH_IOWA_WB,2,0
9TH_IOWA_WB,9TH_IOWA_EB,2,0
9TH_IOWA_WB,MERC,2,0
MERC,MERC,2,0
MERC,9TH_IOWA_EB,2,0
MERC,9TH_IOWA_WB,2,0
5TH_MICH_NB,5TH_MICH_NB,2,0
5TH_MICH_NB,5TH_MICH_SB,2,0
5TH_MICH_SB,5TH_MICH_SB,2,0
5TH_MICH_SB,5TH_MICH_NB,2,0
