fare_id,route_id,origin_id,destination_id,contains_id
FULL,RT_1,,,
FULL,RT_3,,,
FULL,RT_4,,,
FULL,RT_5,,,
FULL,RT_6,,,
FULL,RT_7,,,
FULL,RT_9,,,
FULL,RT_10,,,
FULL,RT_11,,,
FULL,RT_15,,,
FULL,RT_27,,,
FULL,RT_29,,,
FULL,RT_30,,,
FULL,RT_36,,,
FULL,RT_38,,,
FREE,RT_41,,,
FREE,RT_42,,,
FREE,RT_43,,,
