fare_id,route_id,origin_id,destination_id,contains_id
873,1236,,,
873,1235,,,
873,1237,,,
873,1238,,,
873,1239,,,
873,1240,,,
873,1241,,,
873,1242,,,
873,1243,,,
873,1244,,,
873,1245,,,
873,1246,,,
873,1247,,,
873,1248,,,
873,1251,,,
873,1255,,,
874,1235,,,
874,1236,,,
874,1237,,,
874,1238,,,
874,1239,,,
874,1240,,,
874,1241,,,
874,1242,,,
874,1243,,,
874,1244,,,
874,1245,,,
874,1246,,,
874,1247,,,
874,1248,,,
874,1251,,,
874,1255,,,
875,1256,,,
875,1257,,,
875,1258,,,
875,1315,,,
876,1235,,,
876,1236,,,
876,1237,,,
876,1238,,,
876,1239,,,
876,1240,,,
876,1241,,,
876,1242,,,
876,1243,,,
876,1244,,,
876,1245,,,
876,1246,,,
876,1247,,,
876,1248,,,
876,1251,,,
876,1252,,,
876,1253,,,
876,1254,,,
876,1255,,,
876,1256,,,
876,1257,,,
876,1258,,,
876,1315,,,
1408,1252,,,
1408,1253,,,
1408,1254,,,
