shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4482adba-322a-4336-87fa-417ffe390f66,35.1025851132026,-79.0104069715981,60,8560.26
bfe5adf5-8ce5-4030-bff3-d7bb51af674a,35.0179721425755,-78.9124084360843,5,1210.97
e37683f3-95bb-4110-b14d-ba5e4e8c0cca,35.0095634168126,-79.023128689714,8,2067.4
285a4a2a-1e80-4299-8cbe-dcf7a1760b59,35.0423292840916,-78.9660029987099,44,10616.08
6a7433cf-aa5e-49bb-a00f-ec4e0f311449,35.02830445,-78.95739103,23,4225.89
bec96390-7a1e-43e4-8f31-cd95a53c05a3,35.1115879482977,-78.9277493314594,42,9485.37
48b13b5b-0082-460f-b72a-cb5735fe6578,35.0593800878155,-78.8850405147696,45,8779.69
b3e982d6-4582-4ab4-9edf-91971bd9bb5e,35.0672496895343,-78.9506674677531,76,14140
e37683f3-95bb-4110-b14d-ba5e4e8c0cca,35.0199757528291,-79.0023831428518,15,4371.64
52f767b7-8e5f-46e2-bcb0-19a0b8216360,35.1315113980479,-78.8962776301073,27,5014.33
4482adba-322a-4336-87fa-417ffe390f66,35.1039624276139,-79.0094105308897,61,8738.11
3d23a0dc-724c-4984-b2c4-91050ee223a5,35.04293943,-78.96920577,12,2184.6
4482adba-322a-4336-87fa-417ffe390f66,35.0981339870771,-79.0077328090508,53,7746.01
03cd6076-890e-4a0f-b459-e618daaabc21,35.04468949,-78.88112527,11,1607.43
34ee0a8c-8e7a-48cc-a59a-0132033ff0d6,35.0518967242179,-78.8828464676646,5,1340.52
7d50ded9-a499-45d3-a104-5f3e12d2bae9,35.0877488654,-78.9074886745,46,11708.21
48b13b5b-0082-460f-b72a-cb5735fe6578,35.1145658,-78.92186356,0,0
5136ff8f-7583-47d3-81fa-b350e5c964f2,35.0518927009042,-78.8618782974409,8,1233.17
f9bcd607-8eb2-4e12-b566-6cb6820fb8d8,35.1253382936322,-78.8796170878182,7,935.46
03cd6076-890e-4a0f-b459-e618daaabc21,35.034985,-78.937615,58,11414.45
0b65aba4-0d79-4bd0-9add-34a546dbc9c5,35.087389,-78.942561,21,3160.18
c74d4689-d87a-4d0a-9b90-280c6516e534,35.10292789,-78.89824828,65,9482.24
6b29bbbd-1d78-46b3-85b3-4ed147baacbd,35.0406891131812,-78.9092715924544,27,4564.04
c74d4689-d87a-4d0a-9b90-280c6516e534,35.08085208,-78.88195218,35,5969.18
b9a4c7e0-3286-44a4-b974-2694da8efee5,35.11075935,-78.93443527,46,7368.02
c74d4689-d87a-4d0a-9b90-280c6516e534,35.05649916,-78.8770204,9,1780.33
0b65aba4-0d79-4bd0-9add-34a546dbc9c5,35.0878101639634,-78.8992320835133,50,10702.11
579505ab-dd02-4ad1-a444-1c7961ade127,35.0526265,-78.89287091,45,6846.35
4cee8e51-4679-48fe-b076-d0e1db14ccfa,35.04346708,-78.89906694,24,4004.67
f9bcd607-8eb2-4e12-b566-6cb6820fb8d8,35.101118,-78.878003,17,4090.82
bfe5adf5-8ce5-4030-bff3-d7bb51af674a,35.0294721144123,-78.9293908434743,25,5002.53
3d23a0dc-724c-4984-b2c4-91050ee223a5,35.0099536782475,-79.0189645599702,43,9968.08
f0471f9c-d9a4-4690-9f8b-63161c0c04e3,35.06085723,-78.88055178,19,3277.88
6a7433cf-aa5e-49bb-a00f-ec4e0f311449,35.029167683671,-78.9529795320618,21,3812.37
