service_id,date,exception_type
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151222,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151124,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151208,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151110,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151223,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151125,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151209,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151111,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151224,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151126,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151210,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151112,1
4e853a42-6c3a-428f-83e0-9a9b85f9db3a,20151225,1
4e853a42-6c3a-428f-83e0-9a9b85f9db3a,20151127,1
4e853a42-6c3a-428f-83e0-9a9b85f9db3a,20151211,1
4e853a42-6c3a-428f-83e0-9a9b85f9db3a,20151113,1
637ec02d-d314-4e5f-8598-efa384739b6c,20151128,1
637ec02d-d314-4e5f-8598-efa384739b6c,20151212,1
637ec02d-d314-4e5f-8598-efa384739b6c,20151226,1
3595712b-add5-4c8e-ba7f-12ebe3dbda50,20151129,1
3595712b-add5-4c8e-ba7f-12ebe3dbda50,20151213,1
637ec02d-d314-4e5f-8598-efa384739b6c,20151114,1
3595712b-add5-4c8e-ba7f-12ebe3dbda50,20151227,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151130,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151214,1
3595712b-add5-4c8e-ba7f-12ebe3dbda50,20151115,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151201,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151215,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151228,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151116,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151202,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151216,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151229,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151203,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151217,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151117,1
4e853a42-6c3a-428f-83e0-9a9b85f9db3a,20151204,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151230,1
4e853a42-6c3a-428f-83e0-9a9b85f9db3a,20151218,1
637ec02d-d314-4e5f-8598-efa384739b6c,20151205,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151118,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151231,1
637ec02d-d314-4e5f-8598-efa384739b6c,20151219,1
3595712b-add5-4c8e-ba7f-12ebe3dbda50,20151206,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151119,1
4e853a42-6c3a-428f-83e0-9a9b85f9db3a,20160101,1
3595712b-add5-4c8e-ba7f-12ebe3dbda50,20151220,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151207,1
4e853a42-6c3a-428f-83e0-9a9b85f9db3a,20151120,1
637ec02d-d314-4e5f-8598-efa384739b6c,20160102,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151221,1
637ec02d-d314-4e5f-8598-efa384739b6c,20151121,1
3595712b-add5-4c8e-ba7f-12ebe3dbda50,20160103,1
3595712b-add5-4c8e-ba7f-12ebe3dbda50,20151122,1
704013df-0d93-4d9f-b087-7f6b8b5bb7bd,20151123,1
