stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
1c4dd76c-a6d6-46b9-9894-2b2e41a0456e,"WRu00670CE","W Russell St/Robeson St","""Highsmith Rainey Hospital""",35.05380239,-78.88835823,0
5f24abe6-1821-467b-963d-386f28b8b075,"Bra00800AN","Branson St/Bradford Ave","""""",35.05272488,-78.8929975,0
82518402-304e-4475-9f44-a21ca626f442,"Tur00500AN","Turnpike Rd/Branson St","""""",35.05224251,-78.89536931,0
084e561e-42c4-4615-84dd-7ac814a6d2bd,"Tur01000BN","Turnpike Rd/Davis Street","""""",35.05142002,-78.89723227,0
793175f3-29f8-4ae3-befe-7371384e8122,"Tur01100CN","Turnpike Rd/Commerce St","""""",35.04967416,-78.89957407,0
1b3c61ea-7e6c-4706-b55d-f6faf43d7e57,"Com00800AW","Commerce St/Turnpike Rd","""""",35.04860008,-78.90015775,0
bd9a3f11-7d60-4e2d-bfa4-85c3eeb06c46,"Com00700BW","Commerce St/Augusta Dr","""""",35.04679198,-78.89872691,0
193a8c6e-5b86-4b6e-8d75-78d49b3b64ab,"Com00700CW","Commerce St/Weiss Ave","""""",35.0449399,-78.89722885,0
0ad6c95b-b0db-42cc-a42c-578b174f469c,"Wei00800AN","Weiss Ave/Commerce St","""""",35.04422908,-78.89745906,0
5c42896b-d792-432c-84c8-f71978e5252b,"Wei00900BN","Weiss Ave/Fledger St","""""",35.04346708,-78.89906694,0
cd1c92ac-249d-4d95-ab5b-718471e705e2,"Rob01200AN","Robeson St/Levy Dr","""""",35.04044555,-78.905569,0
00e2c7be-3887-4bd8-9939-7df257aa1083,"Rob01500BN","Robeson St/Village Dr","""Valleygate""",35.04126392,-78.91368767,0
23a827db-2621-452d-bc87-fb7197056887,"Rob02200CE","Robeson St/Raeford Rd","""""",35.04403863,-78.91758944,0
ffc19315-562b-4921-9533-88cff3e1bcdc,"Rae02700AN","Executive Pl/Raeford Rd","""Harris Teeter""",35.0457947,-78.92321868,0
4ce190de-fd61-43d6-84ee-183ba33eb854,"Rae02800BN","Raeford Rd/Ravenhill Dr","""""",35.04558321,-78.92518842,0
037ce5d8-2d9e-4fbd-b51a-38d2787b2f01,"Tallywood","Tallywood Shopping Ctr","""""",35.04490946,-78.93132174,0
04c28637-bc4d-47f5-8b77-f6dfc60e8216,"Rae03300CN","Raeford Rd/S McPherson Church Rd","""Lafayette Bowling Lanes""",35.0443651,-78.93664062,0
7c573c91-4c89-4ea0-ae44-215adcd70203,"Rae03900DN","Raeford Rd/Faison Ave","""Big Lots""",35.04399294,-78.94450595,0
c36b4231-225a-4597-85ec-455a57275f97,"Fdlion-Ire","Food Lion/Ireland Dr","""Foodlion""",35.044331,-78.948367,0
4e04d3c9-263a-4015-a91b-bf891172f035,"Rae3870ES","Raeford Rd/Faison Dr","""""",35.043769,-78.943767,0
f83f2905-0842-47ba-a55f-bcdd18f23f95,"Owe0200BW","AT&T Call Ctr.","""""",35.041923,-78.934428,0
399600d9-9764-4526-a9e6-3fdc14194c0c,"Owe00500AW","Owen Dr/Sandhurst Dr","""""",35.035433,-78.932501,0
b72693f7-e07a-4211-8cfe-9c060a2cf19d,"Mel03300AN","CVS/CFVMC","""""",35.033677,-78.933367,0
f4c3beff-c6c8-4b62-b168-5f151db6a4dd,"WtR01200AE","Walter Reed/Sandhurst Dr","""""",35.035129,-78.937555,0
e616c8e8-70c2-467e-8b81-36f58a3658a0,"Ire01100AW","Ireland Dr/Raeford Rd","""McDonalds""",35.0424474,-78.94748007,0
ca1b9eee-c338-462b-8ec9-c69950238d6d,"Ire01200BW","Ireland Dr/David St","""""",35.04027191,-78.94726819,0
6501a8ab-3889-4990-84d2-ccd48c31a61b,"Dav04200AS","David St/Hicks Ave","""""",35.03975802,-78.94529889,0
ac37a537-60a5-4464-bb18-bef6cb236969,"Dav04000BS","David St/Faison Ave","""""",35.0398626,-78.94322066,0
4a7850d8-8cbc-4ccd-94f2-eb4c3d4e6139,"Rox00600AW","Roxie Ave/Hanna St","""""",35.03793,-78.941222,0
e1885b04-9b67-4899-a0b9-d5163e4c862c,"CpC03700AS","Cape Center Dr/Roxie Ave","""""",35.0362929723437,-78.9396489524632,0
926a43e6-318f-4d37-a42b-9e808001640d,"Owe02010DW","Owen Dr/Bordeaux Parkway","""""",35.024159,-78.924292,0
0be1e32d-cda1-42ec-8060-73c6726f0941,"Cam02770BN","Camden Rd/Wake St","""""",35.015893,-78.908919,0
816bde4c-79ef-41d0-b49a-963c9a99b770,"Sou02700AE","W Mountain Dr/Southern Ave","""""",35.01513049,-78.90660445,0
2672e2be-7cf7-454a-b5d7-80badb6c5dd7,"Sou02500BE","Southern Av/Ladley St","""""",35.01709947,-78.9050055,0
8a164554-0498-4618-9906-c2ebd1193a27,"Owe03100GE","Owen Dr/Business 301","""""",35.0201112043924,-78.8949700531346,0
942fe25d-1e34-41c3-83da-4f1aaba885a2,"Coliseum1","Coliseum 1","""""",35.016429,-78.892836,0
c89e9120-eea9-4f03-b31c-9fc1864b497b,"Coliseum2","Coliseum 2 ","""""",35.013545,-78.892404,0
98013383-d8c5-499e-8fa9-cbba3b0c9d09,"Meh05500AE","University Estates","""Meharry Dr/Shaw Mill Rd""",35.1145658,-78.92186356,0
e4b8c42e-76af-4119-8fd4-c922149f0759,"Meh05510BE","Meharry D/Spellman Dr","""""",35.11559,-78.922893,0
d1152e1a-02de-4e11-b465-35efead60742,"Meh05580CE","Meharry Dr/Livingston Dr","""""",35.116913,-78.924225,0
836f2943-c4e7-4096-965c-d321a1e30aff,"Sha02080AN","Shaw Rd/Meharry Dr","""""",35.11729,-78.925349,0
3798a264-2dfe-40f5-a56f-8ff91cc26381,"Sha02000BN","Shaw Rd/Edmeston Dr","""""",35.115905,-78.92763,0
d3ba320c-aa16-4198-8b6b-36090379ad71,"Liv05510AW","Livingston Dr/Fiske Dr","""""",35.113781,-78.926475,0
57cca9bc-20aa-4c72-bb7c-4fb69d59bff8,"Liv05500BW","Livingston Dr/Spellman Dr","""""",35.113097,-78.925834,0
97185102-646f-4888-95b7-dc394c43631e,"ShM01200BN","Shaw Mill Rd/RR Crossing","""""",35.112051,-78.927139,0
83cce661-e15f-40b4-878c-98dee0e4182b,"Mur05300BW","Murchison Rd/Hogan St","""""",35.1108334806,-78.9272947171,0
d6afb841-9792-4f27-b9ed-d71821b9b4c7,"Mur04600CW","Murchison Rd/Harbor Rd","""""",35.1050963371,-78.9224938206,0
8a8494ae-755c-46ca-a998-31cfb5d3e8c6,"Mur04200DW","Murchison Rd/Sleepy Hollow Dr","""""",35.1022178181,-78.9200850393,0
9b9d55c5-f91e-45da-b038-5341db753acc,"Mur03600EW","Murchison Rd/Pamalee Dr","""Pamalee Plaza""",35.0990839722,-78.917453168,0
f900d1c2-1577-4052-b925-0844f9b48d7a,"Mur03100FW","Murchison Rd/Rosemary Dr","""""",35.0954459606,-78.9143832499,0
572dc09c-2f11-4e1c-a372-56a08a4e6e1b,"Mur02800GW","Murchison Rd/Preston Ave","""""",35.0927429489,-78.9120046301,0
53416171-3aed-4f56-b5fb-52a067a8ea0e,"Mur03100HW","Murchison Rd/Pelt Dr","""""",35.0909701133,-78.9104785349,0
c6dddd69-7415-43a6-be8f-c1f22db5e8b5,"Mur02500IW","Murchison Rd/Pelt Dr","""""",35.0890647067,-78.9088196167,0
89d158a0-3c25-4504-8270-0a95f8c971a7,"Mur02100JW","Murchison Rd/Penn. Ave","""""",35.0842580542,-78.9046989657,0
ddec29af-872f-49c8-94b2-ed0272190682,"Mur02000KW","Murchison Rd/Hood Ave","""""",35.0830116516,-78.9035407395,0
c47ddfb8-fc67-4d9b-b0ce-b57f1f7a2529,"Mur01800LW","Murchison Rd/Hood Ave","""""",35.0814890166,-78.9022037014,0
d92fca2f-4dc2-4f00-a5b2-34957f9ea54e,"Mur01500MW","Murchison Rd/Carver St","""""",35.0773708294,-78.8988547072,0
a0350a98-3d03-4345-8ac4-de18ce8156aa,"Mur01400NW","Murchison Rd/Council St","""""",35.0752403603,-78.897318081,0
565a73fd-b7be-414b-aeed-4124e69716ee,"Mur01200OW","FSU","""""",35.0729390292,-78.8956390993,0
26e058e7-a1c1-48a2-a52b-a2970f1b98e9,"Mur01100PW","Murchison Rd/Currie St","""""",35.0708747499,-78.8941279211,0
fd81e52a-28c7-4839-a8f9-4e68bcbdbcbe,"Mur00700QW","Murchison Rd/Blue St","""""",35.0653848557,-78.8901510979,0
935f923e-61c1-45f2-91ea-3b955a0c026e,"Mur00600RW","Murchison Rd/W Rowan St","""""",35.0622775354,-78.8875583369,0
22889e0c-6f9b-4d6c-826f-b92e9bfd9aab,"WRo00500AE","W Rowan St/Hillsboro St","""Vicks""",35.0598725417,-78.8849620527,0
e835b8d2-91b9-41be-aaa4-6b09532f5aef,"Hil00300AE","Hillsboro St/Base of Rowan ramp","""""",35.0590706582,-78.8845409588,0
0b16cde5-e987-46a8-9ed5-5000a4f7bef5,"Row00200AW","Rowan St/Ray Ave","""ESC""",35.058194623,-78.8799756249,0
32414ba1-5173-4c4f-a7bf-b1e31db94f9d,"Row00100BW","Rowan St/Green St","""""",35.0572664601,-78.8772830377,0
be30bb11-2a2b-4a4f-a27b-0f9bd89ccab6,"OtsJonesPO","Green St/Rowan St","""Otis Jones Post Office""",35.05649916,-78.8770204,0
a85f87d2-b106-4aad-881b-a21351929e60,"Bow00100AW","Bow St/Green St","""""",35.053009,-78.877382,0
5115c25d-e26c-4c31-9c5b-9260ae925e5a,"DSS","Social Services","""""",35.07161596,-78.88279553,0
2b2f432b-8233-4c99-ba71-6e6f10590bba,"CCHD","Cumb Co Health Dept","""""",35.073699,-78.882629,0
e90189ec-c794-45ea-90cd-a57943df7635,"CCMall","Cross Creek Mall","""""",35.072667,-78.958904,0
99bfc540-e68e-45bf-97cf-d2731315e44f,"Mor03800BW","Westwood Shopping Center","""""",35.06732457,-78.95197156,0
2daba4f9-f9e1-404e-9315-46ac0908c703,"McP00200DE","N McPherson Church Rd/Vancouver Dr","""Cambridge Arms Apts""",35.07010893,-78.95118034,0
54722f81-a4a6-477a-8b76-a680fac991d8,"McP00200EE","N McPherson Church Rd/Vancouver Dr","""Hooters/Outback""",35.07219752,-78.95210531,0
448f9ff5-86e8-476f-8178-afd9ba14d6eb,"McP00340FE","N McPherson Church Rd/Vancouver Dr","""""",35.0738487,-78.95288394,0
572388ce-e4e9-4171-8d65-de149c204d86,"McP00380GE","N McPherson Church Rd/Sycamore Dairy Rd","""U S Flea Mall""",35.07519192,-78.95350868,0
290f52d7-a13c-4977-b49e-1cfbc778c10b,"SyD03800CW","Sycamore Dairy Rd/Wagoner Dr","""""",35.07931201,-78.94578089,0
251897f8-5d58-466f-92de-4b798d10ab59,"SyD03600DW","Sycamore Dairy Rd/Bragg Blvd","""""",35.07831807,-78.94160876,0
3eb7cbee-0d16-4857-a474-0632ff481877,"BgB03300EW","Bragg Blvd/Shannon Dr","""Bragg Blvd Flea Market""",35.076871,-78.936106,0
111df764-fa94-464d-a34d-616fb0be26dd,"BgB03300FW","Bragg Blvd/Fort Bragg Rd","""""",35.07618542,-78.93387227,0
f02937da-3fe6-4bbd-8f63-aac0eede06cd,"Elm00800BS","Eutaw Shopping Center","""Elm St/Bragg Blvd""",35.07478476,-78.92600187,0
c330c01b-4644-4715-ba8d-09b6644783f0,"Sta00400AN","Stamper Rd/Fort Bragg Rd","""Bar B Que Hut""",35.07135833,-78.92370159,0
